lat,lon,theta,delta_theta,y1,y2
30.5,-128.25,-0.38123741339723427,0.7968598316989381,0.698955889512225,0.7151647813729186
30.5,-128.0,-0.7888928344848595,0.38920441061131283,0.9252112409778291,0.3794524470447718
30.5,-127.75,-1.1224815142213134,0.055615730874858826,0.9984538438371333,0.05558706438420239
30.5,-127.5,-1.47452867869318,-0.2964314335970073,0.9563849874290294,-0.2921091505248941
30.5,-127.25,-2.0907084168170975,-0.9126111717209251,0.611682129667933,-0.7911036419110343
30.5,-127.0,-2.6586381710389877,-1.4805409259428153,0.090132913440519,-0.9959297454713981
30.5,-126.75,1.2335033059355465,2.411600551031719,-0.7451796688858466,0.6668637500113348
30.5,-126.5,0.8399712102350736,2.018068455331246,-0.43250761485278305,0.9016302807106451
30.75,-128.25,-0.9091534976520494,0.26894374744412275,0.96405209445041,0.2657133026135084
30.75,-128.0,-0.9873144622219981,0.19078278287417438,0.98185609876269,0.1896275331340649
30.75,-127.75,-1.3074023259821077,-0.1293050808859353,0.9916517395322352,-0.1289450560614556
30.75,-127.5,-2.146991506738869,-0.9688942616426965,0.5662112931643501,-0.8242601358146312
30.75,-127.25,-2.7620316653595407,-1.5839344202633683,-0.013137715511776228,-0.999913696491418
30.75,-127.0,-2.6918656008467177,-1.5137683557505452,0.05699706510911433,-0.9983743459088616
30.75,-126.75,-2.5227794908479675,-1.344682245751795,0.2241922230855248,-0.9745449436059737
30.75,-126.5,2.088697875570344,-3.0163901865130693,-0.9921724043641533,-0.12487561818968089
31.0,-128.25,-1.5952849608668773,-0.4171877157707051,0.9142320663105744,-0.40519097834169193
31.0,-128.0,-1.611795608787828,-0.4336983636916556,0.9074177969881936,-0.420229629737235
31.0,-127.75,-2.341733502506383,-1.1636362574102104,0.3960031645507428,-0.9182491457473823
31.0,-127.5,3.1373481492687274,-1.967739912814686,-0.386601384086264,-0.9222469136964271
31.0,-127.25,-3.134630577226495,-1.9565333321303227,-0.37624209007789666,-0.9265213919029694
31.0,-127.0,-2.8016469249540146,-1.6235496798578422,-0.05272888844001419,-0.9986088645329965
31.0,-126.75,-2.6777181051159786,-1.4996208600198062,0.07111538680397214,-0.9974680956099405
31.0,-126.5,3.1251689581328668,-1.9799191039505466,-0.39780465538190235,-0.91747013910889
31.25,-128.25,-2.1131618636248173,-0.9350646185286449,0.5937664331257629,-0.8046374481051133
31.25,-128.0,-2.392727791741476,-1.2146305466453038,0.34868321845703093,-0.9372406378121076
31.25,-127.75,-3.102987218342644,-1.9248899732464717,-0.3467403833611357,-0.9379611434097751
31.25,-127.5,2.828294800410565,-2.2767932616728483,-0.6487927844956087,-0.7609651258674307
31.25,-127.25,2.8941787204216745,-2.21090934166174,-0.5972860862936743,-0.8020282607988234
31.25,-127.0,-2.9844234925215916,-1.8063262474254191,-0.23335830820824544,-0.972390816487993
31.25,-126.75,-2.7946051514404058,-1.6165079063442334,-0.045695661785357465,-0.9989554076604211
31.25,-126.5,-3.0329369326027074,-1.854839687506535,-0.2802392727430168,-0.9599301797591662
31.5,-128.25,-2.462772723322811,-1.2846754782266387,0.2822329098502194,-0.9593459149845158
31.5,-128.0,-2.6738202299223284,-1.495722984826156,0.0750028428622782,-0.9971833199380024
31.5,-127.75,-3.0856193319576213,-1.9075220868614489,-0.33039850508579527,-0.9438415268661746
31.5,-127.5,2.8248084593499434,-2.2802796027334704,-0.6514418201893517,-0.7586985929263242
31.5,-127.25,2.806425550475068,-2.2986625116083452,-0.6652780535700679,-0.7465956813684512
31.5,-127.0,-3.1330181866291724,-1.954920941533,-0.3747476872670541,-0.9271268364619775
31.5,-126.75,-2.7743872625779873,-1.5962900174818149,-0.025490929264964,-0.9996750534674798
31.5,-126.5,-2.6739581400238004,-1.495860894927628,0.07486532049662838,-0.9971936541048269
31.75,-128.25,-2.6998668326266797,-1.5217695875305073,0.04900710133997049,-0.9987984301240436
31.75,-128.0,-2.7249938239147724,-1.5468965788186,0.02389747279342173,-0.9997144146175385
31.75,-127.75,-2.9253605888849648,-1.7472633437887923,-0.17555256028993174,-0.984470059765989
31.75,-127.5,2.9936282635514724,-2.111459798531941,-0.5147049439200887,-0.8573673779099706
31.75,-127.25,2.907311111839189,-2.197776950244225,-0.5867023368316601,-0.8098026722333468
31.75,-127.0,-2.960506116453097,-1.7824088713569246,-0.21003674656656016,-0.9776934924053318
31.75,-126.75,-2.4243216457384364,-1.246224400642264,0.31890309212075046,-0.9477873273239225
31.75,-126.5,-2.047300425807502,-0.8692031807113296,0.6454353745085237,-0.7638148842049635
32.0,-128.25,-2.7540670833072682,-1.5759698382110958,-0.005173488337867891,-0.9999866174196622
32.0,-128.0,-2.5713223137277326,-1.3932250686315601,0.17663954540921314,-0.9842756072348977
32.0,-127.75,-2.609610627581382,-1.4315133824852095,0.13883303881599932,-0.9903158018193566
32.0,-127.5,-2.972727112763804,-1.7946298676676316,-0.22196915312396126,-0.9750536882969222
32.0,-127.25,-3.082706850804377,-1.9046096057082047,-0.3276481870041089,-0.9447998018378923
32.0,-127.0,-2.53841120256309,-1.3603139574669174,0.20893164769064076,-0.9779302462820515
32.0,-126.75,-2.0389368607763183,-0.8608396156801459,0.6518009417705751,-0.7583900924372571
32.0,-126.5,-1.7701875502916489,-0.5920903051954767,0.8297759002649222,-0.5580967257918092
32.25,-128.25,-1.7592590910487782,-0.5811618459526056,0.8358253661009899,-0.5489954074326544
32.25,-128.0,-1.759858099092065,-0.5817608539958927,0.835496363504365,-0.5494959750270989
32.25,-127.75,-1.9203373233899483,-0.7422400782937757,0.736956249479569,-0.6759404458626568
32.25,-127.5,-2.2482289580361323,-1.07013171293996,0.4800086862068466,-0.8772637352392819
32.25,-127.25,-2.139534588112076,-0.9614373430159038,0.5723419347653778,-0.8200150667573274
32.25,-127.0,-1.7334073208514138,-0.5553100757552416,0.8497370070729923,-0.5272068083879735
32.25,-126.75,-1.664522702729099,-0.48642545763292677,0.8840094902706794,-0.4674689520293016
32.25,-126.5,-1.6480291325773782,-0.46993188748120573,0.8915991333527965,-0.45282555736678803
